RGname,location,StorageAccountName
az104-rg13,WestErope,kloudsavvy106
az104-rg14,WestErope,kloudsavvy107
az104-rg15,WestErope,kloudsavvy108
az104-rg16,WestErope,kloudsavvy109
az104-rg17,WestErope,kloudsavvy110
az104-rg18,WestErope,kloudsavvy111
az104-rg19,WestErope,kloudsavvy112
az104-rg20,WestErope,kloudsavvy113
az104-rg21,WestErope,kloudsavvy114
az104-rg22,WestUS,kloudsavvy115
az104-rg23,WestUS,kloudsavvy116
az104-rg24,WestUS,kloudsavvy117
az104-rg25,WestUS,kloudsavvy118
az104-rg26,WestUS,kloudsavvy119
az104-rg27,WestUS,kloudsavvy120
az104-rg28,WestUS,kloudsavvy121
az104-rg29,WestUS,kloudsavvy122
az104-rg30,WestUS,kloudsavvy123
az104-rg31,WestUS,kloudsavvy124
az104-rg32,WestUS,kloudsavvy125
az104-rg33,WestUS,kloudsavvy126
az104-rg34,WestUS,kloudsavvy127
az104-rg35,WestUS,kloudsavvy128
